zh-CN,zh-TW,en,ja,ko,fr,de,it,es,pt,ru,th,vi,id
全面抹消奖章,全面抹除獎章,Total Obliterator,全体殲滅勲章,전면 삭제 훈장,Oblitération totale,Totaler Vernichter,Obliterazione totale,Destrucción total,Obliterador Total,Полное истребление,การทำลายล้าง​ให้​ราบคาบ,Diệt Sạch,Pembinasa Sempurna
坚韧软管残块,堅韌軟管殘塊,Tough Tubular Fragment,硬質チューブの欠片,질긴 파이프 조각,Fragment tubulaire robuste,Robustes Röhrenfragment,Frammento tubolare robusto,Fragmento tubular resistente,Fragmento Tubular Resistente,Прочный трубчатый фрагмент,เศษ​ท่อ​ทนทาน,Mảnh Ống Cứng Cáp,Fragmen Berbentuk Tabung Kokoh
游客们的推测,遊客們的推測,Tourists' Speculations,観光客たちの推測,관람객들의 추측,Spéculations de touristes,Spekulationen von Touristen,Speculazioni tra turisti,Especulaciones de turistas,Especulações dos Turistas,Догадки туристов,สมมติฐาน​ของ​นักท่องเที่ยว,Suy Đoán Của Du Khách,Spekulasi Turis
塔吊,塔吊,Tower Crane,タワークレーン,크레인,Grue à tour,Turmkran,Gru a torre,Grúa de carga,Guindaste de Torre,Башенный кран,ทาวเวอร์​เครน,Cần Trục Tháp,Derek Menara
塔吊操作台,塔吊操作台,Tower Crane Control Panel,タワークレーンの操作台,크레인 조작대,Panneau de contrôle de la grue à tour,Turmkran-Steuerpult,Gru a torre: pannello di controllo,Panel de control de Grúa de carga,Painel de Controle do Guindaste de Torre,Панель управления башенным краном,แผง​ควบคุม​ทาวเวอร์​เครน,Bảng Điều Khiển Cần Trục Tháp,Panel Kontrol Derek Menara
修复塔吊操作台,修復塔吊操作台,Tower Crane Control Panel Repairs,タワークレーンの操作台の修理,크레인 조작대를 수리하기,Réparation des panneaux de contrôle de la grue à tour,Reparaturen von Turmkran-Steuerpulten,Gru a torre: riparazione dei pannelli di controllo,Reparaciones de Paneles de control de Grúas de carga,Reparos em Painéis de Controle de Guindastes de Torre,Ремонт панелей управления башенным краном,การซ่อมแซม​แผง​ควบคุม​ทาวเวอร์​เครน,Sửa Chữa Bảng Điều Khiển Cần Trục Tháp,Perbaikan Panel Kontrol Derek Menara
行迹高塔,行跡高塔,Tower of Trails,実績展示,궤적의 고탑,Tour des sentiers,Turm der Pfade,Torre dei sentieri,Torre de senderos,Torre das Trilhas,Башня пройденных троп,หอคอย​แห่ง​เส้นทาง,Tháp Theo Dấu,Menara Jalur
传送台,傳送台,TP Platform,転送台,전송대,Plateforme TP,TP-Plattform,Piattaforma TP,Plataforma de TP,Plataforma de TP,Платформа ТП,แพลตฟอร์ม​ TP,Nền Tảng Dịch Chuyển,Platform TP
协议传送点,協議傳送點,TP Point,協約転送ポイント,프로토콜 전송 지점,Point TP,TP-Punkt,Punto TP,Punto de TP,Ponto de TP,Точка ТП,จุด​ TP,Điểm Dịch Chuyển,Titik TP
培训材料：危险野生动物，以及天使,培訓資料：危險野生動物，以及天使,Training Material: Dangerous Wildlife and Aggeloi,訓練材料：危険な野生動物およびアンゲロス,"훈련 재료: 위험한 야생동물, 그리고 아겔로스",Support de formation : dangers de la faune et des Aggeloi,Trainingsmaterial: Gefährliche Wildtiere und Aggeloi,Materiale di formazione: fauna pericolosa e Aggeloi,Material de entrenamiento: Fauna peligrosa y Aggeloi,Material de Treinamento: Vida Selvagem Perigosa e Aggeloi,Обучающий материал: опасная фауна и аггелы,เอกสาร​ฝึกอบรม​: สัตว์ป่า​ที่​อันตราย​และ​แอง​เกลอ​ย,Tài Liệu Huấn Luyện: Động Vật Hoang Dã Nguy Hiểm Và Aggeloi,Material Latihan: Margasatwa Berbahaya dan Aggelos
传递区,傳遞區,Transfer Area,中継場,전달 구역,Zone de transfert,Übertragungsbereich,Area di trasporto,Área de transferencia,Área de Transferência,Область трансфера,พื้นที่​ขนถ่าย,Khu Vực Chuyển Giao,Area Transfer
转化技术册α,轉化技術冊α,Transmutation Tech Manual α,変換手帳α,전환 기술 매뉴얼 α,Manuel technique de transmutation α,Transmutations-Techhandbuch α,Manuale della tecnologia di trasmutazione α,Manual técnico de transmutación α,Manual Técnico de Transmutação α,Техническое руководство по видоизменению α,คู่มือ​เทคโนโลยี​การแปร​สภาพ​ α,Sổ Tay Công Nghệ Chuyển Hóa α,Panduan Teknologi Transmutasi α
转化技术册β,轉化技術冊β,Transmutation Tech Manual β,変換手帳β,전환 기술 매뉴얼 β,Manuel technique de transmutation β,Transmutations-Techhandbuch β,Manuale della tecnologia di trasmutazione β,Manual técnico de transmutación β,Manual Técnico de Transmutação β,Техническое руководство по видоизменению β,คู่มือ​เทคโนโลยี​การแปร​สภาพ​ β,Sổ Tay Công Nghệ Chuyển Hóa β,Panduan Teknologi Transmutasi β
传送带,傳送帶,Transport Belt,ベルトコンベア,컨베이어 벨트,Convoyeur à bande,Transportband,Nastro trasportatore,Cinta transportadora,Esteira de Transporte,Транспортировочная лента,สายพาน​ขนส่ง,Băng Tải Vận Chuyển,Sabuk Angkut
传送带 - 异常情形,傳送帶 - 異常情形,Transport Belt: Abnormal Statuses,ベルトコンベア - 異常状態,컨베이어 벨트 - 이상 현상,Convoyeur à bande : statuts anormaux,Transportband: Anomale Zustände,Nastro trasportatore: stati di anomalia,Cinta transportadora: estados anómalos,Esteira de Transporte: Status Anormais,Транспортировочная лента: аномальное состояние,สายพาน​ขนส่ง​: สถานะ​ผิดปกติ,Băng Tải Vận Chuyển: Trạng Thái Bất Thường,Sabuk Angkut: Status Abnormal
传送带 - 物流箭头,傳送帶 - 物流箭頭,Transport Belt: Logistics Arrows,ベルトコンベア - 物流の矢印,컨베이어 벨트 - 물류 화살표,Convoyeur à bande : flèches logistiques,Transportband: Logistikpfeile,Nastro trasportatore: frecce logistiche,Cinta transportadora: flechas logísticas,Esteira de Transporte: Setas de Logística,Транспортировочная лента: стрелки в режиме логистики,สายพาน​ขนส่ง​: ลูกศร​โลจิสติกส์,Băng Tải Vận Chuyển: Mũi Tên Vận Chuyển,Sabuk Angkut: Panah Logistik
传送带 - 区域限制,傳送帶 - 區域限制,Transport Belt: Placement Restrictions,ベルトコンベア - 範囲制限,컨베이어 벨트 - 구역 제한,Convoyeur à bande : restrictions de placement,Transportband: Platzierungseinschränkungen,Nastro trasportatore: limiti di posizionamento,Cinta transportadora: restricciones de colocación,Esteira de Transporte: Restrições de Colocação,Транспортировочная лента: ограничение на размещение,สายพาน​ขนส่ง​: ข้อจำกัด​ใน​การวางตำแหน่ง,Băng Tải Vận Chuyển: Giới Hạn Lắp Đặt,Sabuk Angkut: Batas Penempatan
传送带 - 使用方法,傳送帶 - 使用方法,Transport Belt: Usage,ベルトコンベア - 使用方法,컨베이어 벨트 - 사용 방법,Convoyeur à bande : utilisation,Transportband: Nutzung,Nastro trasportatore: utilizzo,Cinta transportadora: uso,Esteira de Transporte: Uso,Транспортировочная лента: использование,สายพาน​ขนส่ง​: การใช้งาน,Băng Tải Vận Chuyển: Cách Sử Dụng,Sabuk Angkut: Penggunaan
景玉谷交通,景玉谷交通,Transport in Jingyu Valley,景玉谷の交通,경옥 골짜기 교통,Moyens de transport dans la vallée de Jingyu,Transport im Jingyu-Tal,Trasporti a Valle Jingyu,Transporte en el Valle de Jingyu,Transporte no Vale de Jingyu,Транспорт в долине Цзинъю,การ​เดินทาง​ใน​หุบเขา​จิง​หยู,Giao Thông Ở Cảnh Ngọc Cốc,Transportasi di Lembah Jingyu
转运枢纽,轉運樞紐,Transport Nexus,大型輸送拠点,수송 거점,Nœud de transport,Transportnexus,Nexus di trasporto,Nexus de transporte,Nexus de Transporte,Транспортный нексус,เ​น็​ก​ซัส​ขนส่ง,Đầu Mối Vận Tải,Nexus Angkut
踩道,踩道,Treadway,ぬかるんだ道,오솔길,Marchemin,Weg,Sentiero,Pasarela,Passagem,Протоптанный путь,ทางเดิน,Lối Mòn,Jalur Jalan
聚宝窟,聚寶窟,Treasure Grotto,集宝洞,보물의 심장부,Grotte au trésor,Schatzgrotte,Grotta del tesoro,Gruta del tesoro,Gruta do Tesouro,Грот с сокровищами,ถ้ำ​สมบัติ,Hang Động Kho Báu,Groto Harta Karun
潮流对谈,潮流對談,Trendy-fique Discourse,トレンドトーク,트렌드 토크,Conversation tendancissime,Trendi-fiquer Diskurs,Conversazioni stilose,Discurso trendy-chic,Discurso da Moda,Модная беседа,บทสนทนา​แห่ง​แฟชั่น,Bài Diễn Thuyết Thời Thượng,Diskursus Ilmu Trendi
三位一体,三位一體,Triaggelos,トリアンゲロス,트리아겔로스,Triaggelos,Triaggelos,Triaggelos,Triaggelos,Triaggelos,Триаггел,ไตร​แอง​เกลอ​ย,Triaggelos,Triaggelos
演武平台的启动与升级,演武平台的啟動與升級,Trial Arena: Activation and Upgrade,演武プラットフォームの起動とレベルアップ,연무 플랫폼 작동과 업그레이드,Arène des épreuves : activation et amélioration,Prüfungsarena: Aktivierung und Verbesserungen,Arena delle prove: attivazione e aggiornamento,Arena de pruebas: Activación y mejora,Arena dos Desafios: Ativação e Upgrade,Арена испытаний: активация и улучшение,อารี​น่า​ทดลอง​: การ​เปิด​ใช้งาน​และ​อัป​เกรด,Kích Hoạt Và Nâng Cấp Đấu Trường Khảo Nghiệm,Arena Uji Coba: Aktivasi dan Upgrade
选剑演武,選劍演武,Trial of Swordmancy,"<p=""せんけんえんぶ"" padding=0>選剣演武</p>",선검 연무,Épreuve de spadamancie,Prüfung der Schwertkunst,Prova di Spadamanzia,Prueba del Arte de la espada,Desafio de Espadomancia,Испытание меча,บท​ทดสอบ​แห่ง​วิชาดา​บ,Khảo Nghiệm Kiếm Thuật,Ujian Ilmu Pedang
三相纳米片,三相奈米片,Triphasic Nanoflake,三相ナノフレーク,3상 나노 플레이크 칩,Nanoflocon triphasique,Dreiphasige Nanoflocke,Nanoscheggia trifase,Nanohoja trifásica,Nanofloco Trifásico,Трехфазная нанопластина,นา​โน​เฟล​ค​สาม​เฟส,Mảnh Nano Ba Pha,Nanoflake Tiga Fase
助人为乐奖章,助人為樂獎章,True Altruist,人助け勲章,남을 돕는 즐거움 훈장,Altruisme véritable,Wahrer Altruismus,Altruismo vero,Verdadero altruismo,Verdadeiro Altruísta,Истинный альтруист,ผู้​มี​จิต​สาธารณะ​อย่างแท้จริง,Tấm Lòng Vị Tha,Altruis Sejati
志趣,志趣,True Calling,趣深し,의지와 취향,Vocation,Wahre Berufung,Autentica vocazione,Llamamiento auténtico,A Verdadeira Vocação,Истинное призвание,พันธกิจ​แท้จริง,Tiếng Gọi Đích Thực,Panggilan Sejati
充气教授,充氣教授,Tube Professor,バルーン教授,풍선 교수,Professeur gonflable,Röhrchen-Professor,Professor Tubo,Profesor de tuberías,Professor de Tubos,Надувной профессор,ศาสตราจารย์​ท่อ,Giáo Sư Ống,Profesor Tabung
软管残块,軟管殘塊,Tubular Fragment,チューブの欠片,파이프 조각,Fragment tubulaire,Röhrenfragment,Frammento tubolare,Fragmento Tubular,Fragmento Tubular,Трубчатый фрагмент,เศษ​ท่อ,Mảnh Ống,Fragmen Berbentuk Tabung
潜地虬兽,潛地虯獸,Tunneling Nidwyrm,潜地蛟獣,터널링 니드웜,Nidwyrm tunnelier,Tunnel-Nidwurm,Drago delle sabbie,Nidwyrm Subterráneo,Verminídeo Escavador de Túneis,Роющий нидвурм,นิด​เ​วิ​ร์​ม​ใต้พิภพ,Nidwyrm Đào Hầm,Nidwyrm Penggali
浊流切割炬,濁流切割炬,Turbid Cutting Torch,濁流ホットカッター,탁류 화염 절단기,Chalumeau trouble,Trüber Schneidbrenner,Torcia tagliente torbida,Antorcha de corte turbia,Maçarico de Corte Turvo,Антиморовый газовый резак,หัว​ตัด​พ่น​ไฟ​ที่​ขุ่นมัว,Đuốc Cắt U Ám,Obor Pemotong Arus Keruh
浑浊基质,渾濁基質,Turbid Essence,混濁基質,혼탁 기질,Essence trouble,Trübe Essenz,Essenza torbida,Esencia turbia,Essência Turva,Мутная эссенция,แก่นแท้​ขุ่นมัว,Tinh Chất Đục,Esensi Keruh
蚀影牙兽,蝕影牙獸,Tuskbeast Blightshade,牙獣の蝕影,그림자에 물든 터스크비스트,Gangrénombre hyenard,Reißbiest-Verderbnisschatten,Ombra contaminante di bestia feroce,Sombra contaminada de Bestia colmilluda,Sombra da Praga de Besta Carnívora,Моротень звероклыка,เงา​เสื่อมโทรม​ทั​ส​ก์​บี​ส​ต์,Bóng Nhiễm Khuẩn Thú Ngà,Bayang-bayang Hawar Tuskbeast
十二问,十二問,Twelve Questions,十二問,십이문,Douze questions,Zwölf Fragen,Dodici domande,Doce Preguntas,Doze Perguntas,Двенадцать вопросов,สิบสอง​คำถาม,Thập Nhị Vấn,Twelve Questions
树枝源石虫,樹枝源石蟲,Twiggly Originium Slug,枝オリジムシ,나뭇가지 원석충,Limace d'originium dentriforme,Zweigige Originium-Schnecke,Origilumaca arborea,Babosa de Originio con ramas,Lesma Ramosa do Originium,Ветвистый ориджиниевый слизень,ทาก​ออ​ริ​จิ​เนียม​ดุ๊กดิ๊ก,Cành Sên Originium,Siput Originium Ranting
扭曲面具残块,扭曲面具殘塊,Twisted Mask Fragment,歪んだマスクの欠片,왜곡된 마스크 조각,Fragment de masque tordu,Verzerrtes Maskenfragment,Frammento di maschera ritorto,Fragmento de máscara retorcida,Fragmento de Máscara Distorcido,Искаженный фрагмент маски,เศษ​หน้ากาก​บิดเบี้ยว,Mảnh Mặt Nạ Biến Dạng,Fragmen Topeng Bengkok
四二式·肃阵,四二式·肅陣,Type 42: Solemn Phalanx,四二式・粛陣,42식 · 척결,Type 42 : phalange solennelle,Typ 42: Feierliche Phalanx,Tipo 42: Falange solenne,Tipo 42: Falange solemne,Tipo 42: Falange Solene,Тип 42: Чинная фаланга,Type 42: โซ​เล็ม​ ฟา​ลัง​ซ์,Loại 42: Phương Trận Trang Nghiêm,Type 42: Solemn Phalanx
50式应龙护手,50式應龍護手,Type 50 Yinglung Gloves,50式応龍プロテクター,응룡 50식 보호 장갑,Gants de Yinglung type 50,Yinglung-Typ-50-Handschuhe,Guanti Yinglung tipo 50,Guantes Yinglung tipo 50,Luvas de Yinglung Tipo 50,Перчатки «Инлун-50»,ถุงมือ​ไทป์​ 50 ห​ยิง​หลง,Găng Tay Yinglung Loại 50,Sarung Tangan Type 50 Yinglung
50式应龙护手·壹型,50式應龍護手·I,Type 50 Yinglung Gloves T1,50式応龍プロテクターⅠ,응룡 50식 보호 장갑 · I,Gants de Yinglung type 50 G1,Yinglung-Typ-50-Handschuhe S1,Guanti Yinglung tipo 50 O1,Guantes Yinglung tipo 50 T1,Luvas de Yinglung Tipo 50 T1,Перчатки «Инлун-50» К1,ถุงมือ​ไทป์​ 50 ห​ยิง​หลง​ T1,Găng Tay Yinglung Loại 50 T1,Sarung Tangan Type 50 Yinglung T1
50式应龙重甲,50式應龍重甲,Type 50 Yinglung Heavy Armor,50式応龍重防具,응룡 50식 중갑,Armure lourde de Yinglung type 50,Schwere Yinglung-Typ-50-Rüstung,Armatura pesante Yinglung tipo 50,Armadura pesada Yinglung tipo 50,Armadura Pesada de Yinglung Tipo 50,Тяжелая броня «Инлун-50»,เกราะ​หนัก​ไทป์​ 50 ห​ยิง​หลง,Giáp Hạng Nặng Yinglung Loại 50,Armor Berat Type 50 Yinglung
50式应龙重甲·壹型,50式應龍重甲·I,Type 50 Yinglung Heavy Armor T1,50式応龍重防具Ⅰ,응룡 50식 중갑 · I,Armure lourde de Yinglung type 50 G1,Schwere Yinglung-Typ-50-Rüstung S1,Armatura pesante Yinglung tipo 50 O1,Armadura pesada Yinglung tipo 50 T1,Armadura Pesada de Yinglung Tipo 50 T1,Тяжелая броня «Инлун-50» К1,เกราะ​หนัก​ไทป์​ 50 ห​ยิง​หลง​ T1,Giáp Hạng Nặng Yinglung Loại 50 T1,Armor Berat Type 50 Yinglung T1
50式应龙重甲·贰型,50式應龍重甲·II,Type 50 Yinglung Heavy Armor T2,50式応龍重防具Ⅱ,응룡 50식 중갑 · II,Armure lourde de Yinglung type 50 G2,Schwere Yinglung-Typ-50-Rüstung S2,Armatura pesante Yinglung tipo 50 O2,Armadura pesada Yinglung tipo 50 T2,Armadura Pesada de Yinglung Tipo 50 T2,Тяжелая броня «Инлун-50» К2,เกราะ​หนัก​ไทป์​ 50 ห​ยิง​หลง​ T2,Giáp Hạng Nặng Yinglung Loại 50 T2,Armor Berat Type 50 Yinglung T2
50式应龙短刃,50式應龍短刃,Type 50 Yinglung Knife,50式応龍短剣,응룡 50식 단검,Poignard de Yinglung type 50,Yinglung-Typ-50-Messer,Coltello Yinglung tipo 50,Cuchillo Yinglung tipo 50,Faca de Yinglung Tipo 50,Нож «Инлун-50»,มีด​ไทป์​ 50 ห​ยิง​หลง,Dao Găm Yinglung Loại 50,Pisau Type 50 Yinglung
50式应龙短刃·壹型,50式應龍短刃·I,Type 50 Yinglung Knife T1,50式応龍短剣Ⅰ,응룡 50식 단검 · I,Poignard de Yinglung type 50 G1,Yinglung-Typ-50-Messer S1,Coltello Yinglung tipo 50 O1,Cuchillo Yinglung tipo 50 T1,Faca de Yinglung Tipo 50 T1,Нож «Инлун-50» К1,มีด​ไทป์​ 50 ห​ยิง​หลง​ T1,Dao Găm Yinglung Loại 50 T1,Pisau Type 50 Yinglung T1
50式应龙轻甲,50式應龍輕甲,Type 50 Yinglung Light Armor,50式応龍軽防具,응룡 50식 경갑,Armure légère de Yinglung type 50,Leichte Yinglung-Typ-50-Rüstung,Armatura leggera Yinglung tipo 50,Armadura ligera Yinglung tipo 50,Armadura Leve de Yinglung Tipo 50,Легкая броня «Инлун-50»,เกราะ​เบา​ไทป์​ 50 ห​ยิง​หลง,Giáp Hạng Nhẹ Yinglung Loại 50,Armor Ringan Type 50 Yinglung
50式应龙雷达,50式應龍雷達,Type 50 Yinglung Radar,50式応龍レーダー,응룡 50식 탐지기,Radar de Yinglung type 50,Yinglung-Typ-50-Radar,Radar Yinglung tipo 50,Radar Yinglung tipo 50,Radar de Yinglung Tipo 50,Радар «Инлун-50»,เรดาร์​ไทป์​ 50 ห​ยิง​หลง,Radar Yinglung Loại 50,Radar Type 50 Yinglung
50式应龙雷达·壹型,50式應龍雷達·I,Type 50 Yinglung Radar T1,50式応龍レーダーⅠ,응룡 50식 탐지기 · I,Radar de Yinglung type 50 G1,Yinglung-Typ-50-Radar S1,Radar Yinglung tipo 50 O1,Radar Yinglung tipo 50 T1,Radar de Yinglung Tipo 50 T1,Радар «Инлун-50» К1,เรดาร์​ไทป์​ 50 ห​ยิง​หลง​ T1,Radar Yinglung Loại 50 T1,Radar Type 50 Yinglung T1
50式应龙雷达·贰型,50式應龍雷達·II,Type 50 Yinglung Radar T2,50式応龍レーダーⅡ,응룡 50식 탐지기 · II,Radar de Yinglung type 50 G2,Yinglung-Typ-50-Radar S2,Radar Yinglung tipo 50 O2,Radar Yinglung tipo 50 T2,Radar de Yinglung Tipo 50 T2,Радар «Инлун-50» К2,เรดาร์​ไทป์​ 50 ห​ยิง​หลง​ T2,Radar Yinglung Loại 50 T2,Radar Type 50 Yinglung T2
一号丙型辅桩区,一號丙型輔樁區,Type-C Auxiliary Pillar Area 1,丙型補杭エリア1,1번 C형 보조 기둥 구역,Pilier auxiliaire de type C - Zone 1,Typ-C-Hilfssäule in Bereich 1,Area 1 della colonna secondaria di tipo C,Área 1 de pilares auxiliares de tipo C,Área do Pilar Auxiliar Tipo-C 1,Зона 1 вспомогательного столба типа C,เขต​เสา​เสริม​ Type-C 1,Cột Phụ Loại C Khu 1,Area 1 Pilar Sokong Tipe C
二号丙型辅桩区,二號丙型輔樁區,Type-C Auxiliary Pillar Area 2,丙型補杭エリア2,2번 C형 보조 기둥 구역,Pilier auxiliaire de type C - Zone 2,Typ-C-Hilfssäule in Bereich 2,Area 2 della colonna secondaria di tipo C,Área 2 de pilares auxiliares de tipo C,Área do Pilar Auxiliar Tipo-C 2,Зона 2 вспомогательного столба типа C,เขต​เสา​เสริม​ Type-C 2,Cột Phụ Loại C Khu 2,Area 2 Pilar Sokong Tipe C
三号丙型辅桩区,三號丙型輔樁區,Type-C Auxiliary Pillar Area 3,丙型補杭エリア3,3번 C형 보조 기둥 구역,Pilier auxiliaire de type C - Zone 3,Typ-C-Hilfssäule in Bereich 3,Area 3 della colonna secondaria di tipo C,Área 3 de pilares auxiliares de tipo C,Área do Pilar Auxiliar Tipo-C 3,Зона 3 вспомогательного столба типа C,เขต​เสา​เสริม​ Type-C 3,Cột Phụ Loại C Khu 3,Area 3 Pilar Sokong Tipe C
多维禁锢奖章,多維禁錮獎章,Ultimate Immobilizer,行動牽制勲章,다차원 구속 훈장,Immobilisation ultime,Ultimativer Festsetzer,Immobilizzazione duratura,Inmovilizador máximo,Imobilizador Supremo,Мастер обездвиживания,ยอด​นัก​หยุด​การเคลื่อนไหว​ชั้นสูง,Khống Chế Tối Thượng,Pelumpuh Pemungkas
终极武器奖章,終極武器獎章,Ultimate Weapon,究極武器勲章,궁극의 무기 훈장,Arme ultime,Ultimative Waffen,Armamenti supremi,Arma máxima,Armamento Supremo,Совершенное оружие,อาวุธ​ขั้น​สุดยอด,Vũ Khí Tuyệt Kỹ,Persenjataan Pemungkas
黯色火炬,黯色火炬,Umbral Torch,ダークトーチ,암흑의 횃불,Flambeau de l'ombre,Schattenfackel,Torcia d'ombra,Antorcha del umbral,Chama Sombria,Ночной факел,คบเพลิง​แห่ง​เงามืด,Ngọn Đuốc Bóng Tối,Umbral Torch
黯银柑实,黯銀柑實,Umbraline,黒銀シトローム,다크 시트론,Ombraline,Umbralin,Ombralina,Umbralina,Umbralina,Умбралин,ส้ม​อัม​บราลี​น,Cam Kim Ngân,Umbraline
黯银柑实样本,黯銀柑實樣本,Umbraline Sample,黒銀シトロームのサンプル,다크 시트론 표본,Échantillon d'ombraline,Probe: Umbralin,Campione di ombralina,Muestra de Umbralina,Amostra de Umbralina,Образец умбралина,ตัวอย่าง​ส้ม​อัม​บราลี​น,Mẫu Cam Kim Ngân,Sampel Umbraline
重黯石,重黯石,Umbronyx,重闇石,진한 흑암석,Ombronyx,Umbronyx,Umbronyxite,Umbrónix,Umbronix,Умброникс,อัม​โบร​นิก​ซ์,Ám Thạch,Umbronyx
重黯石子簇,重黯石子簇,Umbronyx Seed,純重闇石塊,진한 흑암석 덩이,Graine d'ombronyx,Umbronyx-Saat,Seme di umbronyxite,Semilla de umbrónix,Sementes de Umbronix,Умброниксовое семя,เมล็ด​อัม​โบร​นิก​ซ์,Hạt Ám Thạch,Benih Umbronyx
重黯石,重黯石,Umbronyx Spot,重闇石,진한 흑암석,Ombronyx,Umbronyx,Umbronyxite,Umbrónix,Umbronix,Умброникс,อัม​โบร​นิก​ซ์,Ám Thạch,Umbronyx
不灭晶壁残块,不滅晶壁殘塊,Unbreachable Crystal Fragment,不滅晶壁の欠片,불멸의 결정벽 조각,Fragment de cristal incassable,Unkaputtbares Kristallfragment,Frammento di cristallo inattaccabile,Fragmento de cristal irrompible,Fragmento de Cristal Inquebrável,Фрагмент несокрушимого кристалла,เศษ​คริสตัล​ไร้​ทาง​เจาะ​ทะลุ,Mảnh Pha Lê Vững Chắc,Fragmen Kristal Antiretak
待建造组,待建造組,Unconstructed Set,製造待ち,건설대기 상태,Ensemble à construire,Platzhalter-Set,Set non costruito,Conjunto sin construir,Conjunto Não Construído,Комплект «Не построено»,เซ็ต​ที่​ยัง​ไม่ได้​สร้าง,Bộ Chưa Xây Dựng,Set yang Belum Dibangun
天井院地下的“钥匙”,天井院地下的「鑰匙」,Underground Key of Tianjing Courtyard,観天院地下の「鍵」,천정원 지하의 '열쇠',Clé trouvée sous la cour de Tianjing,Schlüssel aus dem Untergrund des Tianjing-Hofs,Chiave sotterranea del Cortile Tianjing,Llave subterránea del Patio de Tianjing.,Chave Subterrânea do Jardim de Tianjing,"Ключ, найденный под двором Тяньцзин",กุญแจ​ลาน​เทียน​จิง​ใต้ดิน,Chìa Khóa Ngầm của Thiên Tỉnh Viện,Kunci Bawah Tanah Halaman Tianjing
未写完的测评稿,未寫完的評測稿,Unfinished Review Draft,書きかけの評価コメント,쓰다 만 평가 원고,Brouillon de compte-rendu inachevé,Unvollendeter Entwurf,Bozza di recensione incompleta,Borrador de revisión sin terminar,Rascunho de Avaliação Inacabado,Черновик рецензии,ร่าง​การ​ตรวจสอบ​ที่​ยัง​ไม่เสร็จ,Bản Thảo Đánh Giá Chưa Hoàn Thành,Draf Tinjauan yang Tidak Selesai
联盟停车场,聯盟停車場,United Parking Lot,工業団駐車場,연맹 주차장,Parking uni,GBT-Parkplatz,Parcheggio condiviso,Estacionamiento unificado,Estacionamento do Sindicato,Объединенная парковка,ลานจอดรถ​รวม,Bãi Đỗ Xe Công Đoàn,Tempat Parkir Serikat
团结牌口服液货组,團結牌口服液貨組,Unity Syrup [pkg],ユナイト製のシロップ剤セット,단결 브랜드 물약 상품군,Sirop d'unité [colis],Einheitssirup [Paket],Sciroppo dell'unità (pacco),Jarabe de la unidad [paq.],Xarope da Unidade [pct],Сироп «Единство» [упак.],ยาน้ำ​เชื่อม​ยู​นิ​ตี้​ [แพ็ก​],Siro Tỉnh Táo [bộ],Sirop Unity [pkt]
无限的未来,無限的未來,Unlimited Future,無限の未来,무한한 미래,Avenir sans limites,Grenzenlose Zukunft,Futuro illimitato,Futuro sin límites,Futuro Ilimitado,Безграничное будущее,อนาคต​ไร้​ที่​สิ้นสุด,Tương Lai Vô Hạn,Masa Depan Tanpa Batas
尚未录入的家信,尚未錄入的家信,Unrecorded Letter for the Family,入力されていない手紙,보내지지 못한 편지,Lettre à la famille non documentée,Nicht aufgezeichneter Brief für die Familie,Lettera alla famiglia mai registrata,Carta no registrada para la familia,Carta Não Registrada para a Família,Незаписанное письмо семье,จดหมาย​ที่​ไม่มี​ใน​ระบบ​ส่ง​ถึง​ครอบครัว,Thư không ghi vào hồ sơ cho Gia Tộc,Surat Tak Tercatat untuk Keluarga
购买升级项,購買升級項目,Upgrade Purchase,集成工業エリアの発展項目,업그레이드 항목 구매,Achat d'amélioration,Verbesserungen kaufen,Acquisto di potenziamento,Compra de mejoras,Compra de Upgrades,Покупка улучшений,การ​ซื้อ​อัป​เกรด,Nâng Cấp Mua Hàng,Pembelian Upgrade
城建馆,城建館,Urban Development Hall,都市建設館,도시 건설관,Salle de développement urbain,Stadtentwicklungs-Halle,Sala di sviluppo urbano,Salón de Desarrollo Urbano,Salão do Desenvolvimento Urbano,Зал городского развития,หอ​การพัฒนา​เมือง,Sảnh Phát Triển Đô Thị,Balai Pengembangan Kota
分享欲,分享欲,Urge to Share,おすそわけ,공유욕,Une petite gorgée ?,Wunsch zu teilen,Condividere è bello,Necesidad de Compartir,Desejo de Compartilhar,Угощение,แรงกระตุ้น​อยาก​แบ่งปัน,Khao Khát Chia Sẻ,Dorongan Berbagi
”烙铁“发信器,「烙鐵」發訊器,Utjug Signal Emitter,「烙鉄」通信機,'인두' 발신기,Émetteur de signal d'Utjug,Utjug-Sender,Trasmettitore di segnale Utjug,Emisor de señal de Utjug,Emissor de Sinais de Utjug,Передатчик сигнала «Прижигание»,ตัว​ปล่อย​สัญญาณ​อั​ท​จุ๊ก,Máy Phát Tín Hiệu Utjug,Pemancar Sinyal Utjug
